cohort	ic	genes	cytoband	in_selected_genes_list2
MSK	ic1	AXIN2	17q24.1	TRUE
MSK	ic1	CD79B	17q23.3	TRUE
MSK	ic1	MDM2	12q15	TRUE
MSK	ic1	PPM1D	17q23.2	TRUE
MSK	ic1	RNF43	17q22	TRUE
MSK	ic1	SRSF2	17q25.1	TRUE
MSK	ic1	CA4	17q23.1	TRUE
MSK	ic1	HEATR6	17q23.1	TRUE
MSK	ic1	RPS6KB1	17q23.1	TRUE
MSK	ic2	CCND1	11q13.3	TRUE
MSK	ic2	PAK1	11q14.1	TRUE
MSK	ic2	RPS6KB2	11q13.2	TRUE
MSK	ic2	RSF1	11q14.1	TRUE
MSK	ic5	CCNE1	19q12	TRUE
MSK	ic5	ERBB2	17q12	TRUE
MSK	ic5	MYC	8q24.21	TRUE
MSK	ic5	RARA	17q21.2	TRUE
MSK	ic6	FGF4	11q13.3	TRUE
MSK	ic6	FGFR1	8p11.23	TRUE
MSK	ic6	NSD3	8p11.23	TRUE
MSK	ic6	ZNF703	8p11.23	TRUE
MSK	ic8	AKT3	CHR_HSCHR1_3_CTG32_1	TRUE
MSK	ic8	CDC73	1q31.2	TRUE
MSK	ic8	DDR2	1q23.3	TRUE
MSK	ic8	DUSP4	8p12	TRUE
MSK	ic8	ELF3	1q32.1	TRUE
MSK	ic8	H3F3A	NA	TRUE
MSK	ic8	HIST2H3C	NA	TRUE
MSK	ic8	HIST3H3	NA	TRUE
MSK	ic8	INHBA	7p14.1	TRUE
MSK	ic8	MAPK3	16p11.2	TRUE
MSK	ic8	NKX3-1	8p21.2	TRUE
MSK	ic8	NUF2	1q23.3	TRUE
MSK	ic8	RIT1	1q22	TRUE
MSK	ic8	SMYD3	1q44	TRUE
MSK	ic9	AGO2	8q24.3	TRUE
MSK	ic9	NBN	8q21.3	TRUE
MSK	ic9	RAD21	8q24.11	TRUE
MSK	ic9	RECQL4	8q24.3	TRUE
MSK	ic9	MYC	8q24.21	TRUE
METABRIC	NA	PPIH	1p34.2a	TRUE
METABRIC	NA	EBNA1BP2	1p34.2a	TRUE
METABRIC	NA	MED8	1p34.2a	TRUE
METABRIC	NA	PEX11B	1q21.1b	TRUE
METABRIC	NA	POLR3C	1q21.1b	TRUE
METABRIC	NA	ZNF364	1q21.1b	TRUE
METABRIC	NA	BCL9	1q21.1c	TRUE
METABRIC	NA	SF3B4	1q21.2a	TRUE
METABRIC	NA	VPS45	1q21.2a	TRUE
METABRIC	NA	APH1A	1q21.2b	TRUE
METABRIC	NA	PRPF3	1q21.2b	TRUE
METABRIC	NA	RPRD2	1q21.2b	TRUE
METABRIC	NA	TARS2	1q21.2b	TRUE
METABRIC	NA	GOLPH3L	1q21.2c	TRUE
METABRIC	NA	SETDB1	1q21.2c-q21.2d	TRUE
METABRIC	NA	LASS2	1q21.2d	TRUE
METABRIC	NA	PRUNE	1q21.2d	FALSE
METABRIC	NA	LYSMD1	1q21.2d	TRUE
METABRIC	NA	SCNM1	1q21.2d	TRUE
METABRIC	NA	VPS72	1q21.2d	TRUE
METABRIC	NA	PSMD4	1q21.2d	TRUE
METABRIC	NA	PI4KB	1q21.2d	TRUE
METABRIC	NA	PSMB4	1q21.3a	TRUE
METABRIC	NA	POGZ	1q21.3a	TRUE
METABRIC	NA	TUFT1	1q21.3a	TRUE
METABRIC	NA	SNX27	1q21.3a	TRUE
METABRIC	NA	MRPL9	1q21.3a	TRUE
METABRIC	NA	CHTOP	1q21.3d	TRUE
METABRIC	NA	INTS3	1q21.3d	TRUE
METABRIC	NA	GATAD2B	1q21.3d	TRUE
METABRIC	NA	JTB	1q21.3d	TRUE
METABRIC	NA	C1orf43	1q21.3d	TRUE
METABRIC	NA	HAX1	1q21.3d	TRUE
METABRIC	NA	ADAR	1q21.3e	TRUE
METABRIC	NA	PMVK	1q21.3e	TRUE
METABRIC	NA	EFNA1	1q22a	TRUE
METABRIC	NA	KRTCAP2	1q22a	TRUE
METABRIC	NA	MTX1	1q22a	TRUE
METABRIC	NA	SCAMP3	1q22a	TRUE
METABRIC	NA	CLK2	1q22a	TRUE
METABRIC	NA	DAP3	1q22b	TRUE
METABRIC	NA	KIAA0907	1q22c	FALSE
METABRIC	NA	UBQLN4	1q22c	TRUE
METABRIC	NA	DQ896212	1q22c	TRUE
METABRIC	NA	RAB25	1q22c	TRUE
METABRIC	NA	SLC25A44	1q22d	TRUE
METABRIC	NA	PMF1	1q22d	TRUE
METABRIC	NA	APOA1BP	1q23.1a	FALSE
METABRIC	NA	C1orf66	1q23.1a	TRUE
METABRIC	NA	PRCC	1q23.1a	TRUE
METABRIC	NA	DUSP23	1q23.2b	TRUE
METABRIC	NA	IGSF9	1q23.2c	TRUE
METABRIC	NA	PIGM	1q23.2c	TRUE
METABRIC	NA	COPA	1q23.2d	TRUE
METABRIC	NA	NCSTN	1q23.2d	TRUE
METABRIC	NA	DEDD	1q23.3a	TRUE
METABRIC	NA	UFC1	1q23.3a	TRUE
METABRIC	NA	USP21	1q23.3a	TRUE
METABRIC	NA	PPOX	1q23.3a	TRUE
METABRIC	NA	B4GALT3	1q23.3a	TRUE
METABRIC	NA	DUSP12	1q23.3b	TRUE
METABRIC	NA	ATF6	1q23.3b	TRUE
METABRIC	NA	ALDH9A1	1q24.1a	TRUE
METABRIC	NA	TMCO1	1q24.1a	TRUE
METABRIC	NA	POGK	1q24.1c	TRUE
METABRIC	NA	TADA1L	1q24.1c	TRUE
METABRIC	NA	IQWD1	1q24.2a	TRUE
METABRIC	NA	SCYL3	1q24.2c	TRUE
METABRIC	NA	GORAB	1q24.2c	TRUE
METABRIC	NA	METTL13	1q24.3b	TRUE
METABRIC	NA	PIGC	1q24.3d	TRUE
METABRIC	NA	MRPS14	1q25.1b	TRUE
METABRIC	NA	RFWD2	1q25.1b-q25.2a	TRUE
METABRIC	NA	FAM20B	1q25.2c	TRUE
METABRIC	NA	TOR1AIP1	1q25.2c	TRUE
METABRIC	NA	CEP350	1q25.2c	TRUE
METABRIC	NA	ACBD6	1q25.2c-q25.3a	TRUE
METABRIC	NA	STX6	1q25.3a	TRUE
METABRIC	NA	TSEN15	1q25.3e	TRUE
METABRIC	NA	C1orf25	1q25.3g	TRUE
METABRIC	NA	TPR	1q31.1a	TRUE
METABRIC	NA	TROVE2	1q31.2b	TRUE
METABRIC	NA	ZBTB41	1q31.3c	TRUE
METABRIC	NA	AM393546	1q32.1b	TRUE
METABRIC	NA	TMEM9	1q32.1b	TRUE
METABRIC	NA	IPO9	1q32.1c	TRUE
METABRIC	NA	KDM5B	1q32.1d	TRUE
METABRIC	NA	KLHL12	1q32.1d	TRUE
METABRIC	NA	ADIPOR1	1q32.1d	TRUE
METABRIC	NA	RBBP5	1q32.1f-q32.1g	TRUE
METABRIC	NA	DSTYK	1q32.1g	TRUE
METABRIC	NA	CD46	1q32.2a	TRUE
METABRIC	NA	RCOR3	1q32.2c-q32.3a	TRUE
METABRIC	NA	BC005997	1q32.3a	FALSE
METABRIC	NA	NENF	1q32.3b	TRUE
METABRIC	NA	ANGEL2	1q32.3c	TRUE
METABRIC	NA	RPK118	1q32.3c-q32.3d	TRUE
METABRIC	NA	KCTD3	1q41a	TRUE
METABRIC	NA	RRP15	1q41c	TRUE
METABRIC	NA	LYPLAL1	1q41c	TRUE
METABRIC	NA	EPRS	1q41d	TRUE
METABRIC	NA	BPNT1	1q41d	TRUE
METABRIC	NA	IARS2	1q41d	TRUE
METABRIC	NA	FBXO28	1q42.11a-q42.11b	TRUE
METABRIC	NA	WDR26	1q42.11b	TRUE
METABRIC	NA	PYCR2	1q42.12c	TRUE
METABRIC	NA	H3F3A	1q42.12c	TRUE
