Probe_ID	Gene_symbol	Ensembl_ID	Cytoband	Genomic_location_hg18	chromosome_name_hg18	start_position_hg18	end_position_hg18	Synonyms_0	Gene.Chosen	Genomic_location_hg19	chromosome_name_hg19	start_position_hg19	end_position_hg19	Genomic_location_hg38	chromosome_name_hg38	start_position_hg38	end_position_hg38	strand	Alias	gencode_seqnames_hg19	gencode_seqnames_hg38	gencode_start_hg19	gencode_start_hg38	gencode_end_hg19	gencode_end_hg38	Cytoband_hg19	Cytoband_hg38	Source
ILMN_1801913	PPIH	ENSG00000171960	1p34.2a	chr1:42905641:42905690:+	1	42905641	42905690	CYPH; CYP-20; USA-CYP; MGC5016; SnuCyp-20	YES	chr1:43133054:43133103:+	1	43133054	43133103	1:42667383:42667432:+	1	42667383	42667432	+	NA	chr1	chr1	43124096	42658425	43142429	42676758	1p34	1p34	iC10
ILMN_1768127	EBNA1BP2	ENSG00000117395	1p34.2a	chr1:43402921:43402970:-	1	43402921	43402970	P40; NOBP; EBP2	YES	chr1:43630334:43630383:-	1	43630334	43630383	1:43164663:43164712:-	1	43164663	43164712	-	NA	chr1	chr1	43629846	43164175	43736607	43270936	1p34	1p34	iC10
ILMN_1736847	MED8	ENSG00000159479	1p34.2a	chr1:43624236:43624268:-,chr1:43623348:43623364:-	1	43624236	43624268	MGC19641; MGC17544; ARC32	YES	chr1:43851649:43851681:-	1	43851649	43851681	1:43385978:43386010:-	1	43385978	43386010	-	NA	chr1	chr1	43849588	43383917	43855479	43389808	1p34	1p34	iC10
ILMN_1678546	PEX11B	ENSG00000131779	1q21.1b	chr1:144234812:144234861:+	1	144234812	144234861	PEX11-BETA	YES	chr1:145523455:145523504:+	1	145523455	145523504	1:145911576:145911625:-	1	145911576	145911625	-	NA	chr1	chr1	145516252	145911350	145523730	145918837	1q21	1q21	iC10
ILMN_1795678	POLR3C	ENSG00000186141	1q21.1b	chr1:144304061:144304110:-	1	144304061	144304110	RPC62; RPC3	YES	chr1:145592704:145592753:-	1	145592704	145592753	1:145842357:145842406:+	1	145842357	145842406	+	NA	chr1	chr1	145592605	145824088	145611025	145842505	1q21	1q21	iC10
ILMN_1811997	ZNF364	ENSG00000121848	1q21.1b	chr1:144399892:144399941:+	1	144399892	144399941	BCA2; RNF115	YES	chr1:145688535:145688584:+	1	145688535	145688584	1:145746502:145746551:-	1	145746502	145746551	-	RNF115	chr1	chr1	145611036	145738868	145696218	145824077	1q21	1q21	iC10
ILMN_1704452	BCL9	ENSG00000116128	1q21.1c	chr1:145564526:145564575:+	1	145564526	145564575	LGS; MGC131591	YES	chr1:147097902:147097951:+	1	147097902	147097951	1:147626101:147626150:+	1	147626101	147626150	+	NA	chr1	chr1	147013182	147541412	147098017	147626216	1q21	1q21	iC10
ILMN_1722648	SF3B4	ENSG00000143368	1q21.2a	chr1:148161940:148161989:-	1	148161940	148161989	SF3b49; SAP49; MGC10828	YES	chr1:149895316:149895365:-	1	149895316	149895365	1:149923424:149923473:-	1	149923424	149923473	-	NA	chr1	chr1	149895209	149923317	149900236	149928344	1q21	1q21	iC10
ILMN_1683243	VPS45	ENSG00000136631	1q21.2a	chr1:148383686:148383735:+	1	148383686	148383735	VPS45A; VPS45B; H1; H1VPS45; VSP45; VSP45A; VPS54A	YES	chr1:150117062:150117111:+	1	150117062	150117111	1:150144884:150144933:+	1	150144884	150144933	+	NA	chr1	chr1	150039336	150067279	150117507	150145329	1q21	1q21	iC10
ILMN_1658472	APH1A	ENSG00000117362	1q21.2b	chr1:148504757:148504806:-	1	148504757	148504806	APH-1A; CGI-78; 6530402N02Rik	YES	chr1:150238133:150238182:-	1	150238133	150238182	1:150265733:150265782:-	1	150265733	150265782	-	NA	chr1	chr1	150237799	150265399	150241980	150269580	1q21	1q21	iC10
ILMN_1715392	PRPF3	ENSG00000117360	1q21.2b	chr1:148592016:148592065:+	1	148592016	148592065	HPRP3P; HPRP3; Prp3p; RP18; PRP3 ;PRPF3; DQ896100	YES	chr1:150325392:150325441:+	1	150325392	150325441	1:150352916:150352965:+	1	150352916	150352965	+	NA	chr1	chr1	150293925	150321476	150325671	150353195	1q21	1q21	iC10
ILMN_1705733	RPRD2	ENSG00000163125	1q21.2b	chr1:148712270:148712319:+	1	148712270	148712319	FLJ32145; HSPC099 ;RPRD2; KIAA0460	YES	chr1:150445646:150445695:+	1	150445646	150445695	1:150473170:150473219:+	1	150473170	150473219	+	NA	chr1	chr1	150335567	150363091	150449042	150476566	1q21	1q21	iC10
ILMN_1778187	TARS2	ENSG00000143374	1q21.2b	chr1:148746173:148746222:+	1	148746173	148746222	FLJ12528; TARSL1	YES	chr1:150479549:150479598:+	1	150479549	150479598	1:150507073:150507122:+	1	150507073	150507122	+	NA	chr1	chr1	150459840	150487364	150480085	150507609	1q21	1q21	iC10
ILMN_1706764	GOLPH3L	ENSG00000143457	1q21.2c	chr1:148885589:148885638:-	1	148885589	148885638	GPP34R; FLJ10687	YES	chr1:150618965:150619014:-	1	150618965	150619014	1:150646489:150646538:-	1	150646489	150646538	-	NA	chr1	chr1	150618701	150646225	150669620	150697144	1q21	1q21	iC10
ILMN_1718207	SETDB1	ENSG00000143379	1q21.2c-q21.2d	chr1:149203600:149203649:+	1	149203600	149203649	KMT1E; KIAA0067; KG1T; ESET	YES	chr1:150936976:150937025:+	1	150936976	150937025	1:150964500:150964549:+	1	150964500	150964549	+	NA	chr1	chr1	150898739	150926263	150937220	150964744	1q21	1q21	iC10
ILMN_2400500	LASS2	ENSG00000143418	1q21.2d	chr1:149204651:149204700:-	1	149204651	149204700	NA ;CERS2	NO	chr1:150938027:150938076:-	1	150938027	150938076	1:150965551:150965600:-	1	150965551	150965600	-	CERS2	chr1	chr1	150933059	150960583	150947480	150975004	1q21	1q21	iC10
ILMN_1726108	LASS2	ENSG00000143418	1q21.2d	chr1:149204654:149204703:-	1	149204654	149204703	SP260; CerS2; MGC987; TMSG1; L3; FLJ10243 ;CERS2	YES	chr1:150938030:150938079:-	1	150938030	150938079	1:150965554:150965603:-	1	150965554	150965603	-	CERS2	chr1	chr1	150933059	150960583	150947480	150975004	1q21	1q21	iC10
ILMN_1792931	LYSMD1	ENSG00000163155	1q21.2d	chr1:149399104:149399153:-	1	149399104	149399153	RP11-68I18.5; SB145; MGC35223	YES	chr1:151132480:151132529:-	1	151132480	151132529	1:151160004:151160053:-	1	151160004	151160053	-	NA	chr1	chr1	151132224	151159748	151138424	151165948	1q21	1q21	iC10
ILMN_2375651	SCNM1	ENSG00000163156	1q21.2d	chr1:149406078:149406122:+,chr1:149406221:149406225:+	1	149406078	149406122	NA	NO	chr1:151139454:151139498:+	1	151139454	151139498	1:151166978:151167022:+	1	151166978	151167022	+	NA	chr1	chr1	151129140	151156664	151142773	151170297	1q21	1q21	iC10
ILMN_1746598	SCNM1	ENSG00000163156	1q21.2d	chr1:149406479:149406514:+,chr1:149407244:149407257:+	1	149406479	149406514	MGC3180	YES	chr1:151139855:151139890:+	1	151139855	151139890	1:151167379:151167414:+	1	151167379	151167414	+	NA	chr1	chr1	151129140	151156664	151142773	151170297	1q21	1q21	iC10
ILMN_1722774	VPS72	ENSG00000163159	1q21.2d	chr1:149415822:149415871:-	1	149415822	149415871	TCFL1; Swc2; YL1; CFL1; YL-1	YES	chr1:151149198:151149247:-	1	151149198	151149247	1:151176722:151176771:-	1	151176722	151176771	-	NA	chr1	chr1	151142463	151169987	151167797	151195321	1q21	1q21	iC10
ILMN_1728355	PSMD4	ENSG00000159352	1q21.2d	chr1:149505504:149505539:+,chr1:149505620:149505633:+	1	149505504	149505539	NA	NO	chr1:151238880:151238915:+	1	151238880	151238915	1:151266404:151266439:+	1	151266404	151266439	+	NA	chr1	chr1	151227179	151254703	151239955	151267479	1q21	1q21	iC10
ILMN_2344130	PSMD4	ENSG00000159352	1q21.2d	chr1:149505507:149505539:+,chr1:149505620:149505636:+	1	149505507	149505539	pUB-R5; Rpn10; AF-1; AF; ASF; MCB1; S5A	YES	chr1:151238883:151238915:+	1	151238883	151238915	1:151266407:151266439:+	1	151266407	151266439	+	NA	chr1	chr1	151227179	151254703	151239955	151267479	1q21	1q21	iC10
