genes	ic	Cytoband_hg19	Cytoband_hg38
DC13	NA	16q23	16q23
ARFGEF2	NA	20q13	20q13
PHF12	NA	17q11	17q11
RRS1	NA	8q13	8q13
C1orf66	NA	1q23	1q23
HEATR3	NA	16q12	16q12
POLD4	ic2	11q13	11q13
RNF43	NA	17q22	17q22
C18orf55	NA	18q22	18q22
E2F5	NA	8q21	8q21
NIP7	NA	16q22	16q22
DHTKD1	NA	10p14	10p14
EIF2C2	ic9	8q24	8q24
KIAA0195	ic1	17q25	17q25
GGPS1	NA	1q42	1q42
C8orf82	ic9	8q24	8q24
TOB1	NA	17q21	17q21
AQP11	ic2	11q14	11q14
TNFAIP1	NA	17q11	17q11
TAF2	ic9	8q24	8q24
HEATR6	ic1	17q23	17q23
JTB	NA	1q21	1q21
RWDD1	NA	6q22	6q22
AKT3	NA	1q43-1q44	1q43-1q44
EARS2	NA	16p12	16p12
AM393546	NA	1q32	1q32
DQ895110	NA	17q21	17q21
SETDB1	NA	1q21	1q21
C8orf55	ic9	8q24	8q24
PNMT	NA	17q12	17q12
TMEM49	ic1	17q23	17q23
NUFIP2	NA	17q11	17q11
C1orf124	NA	1q42	1q42
EEF1D	ic9	8q24	8q24
PHB	NA	17q21	17q21
IFT140	NA	16p13	16p13
TRAM1	NA	8q13	8q13
RCOR3	NA	1q32	1q32
PPM1D	ic1	17q23	17q23
DGAT1	ic9	8q24	8q24
BUD31	NA	7q22	7q22
SCNM1	NA	1q21	1q21
ADAR	NA	1q21	1q21
INTS3	NA	1q21	1q21
ARV1	NA	1q42	1q42
EIF4A3	ic1	17q25	17q25
PSMB1	NA	6q27	6q27
FAHD1	NA	16p13	16p13
WDR59	NA	16q23	16q23
INTS4	ic2	11q14	11q14
MASTL	NA	10p12	10p12
USP35	ic2	11q14	11q14
GINS4	ic6	8p11	8p11
VCPIP1	NA	8q13	8q13
NOL7	NA	6p23	6p23
BRD7	NA	16q12	16q12
ERBB2	NA	17q12	17q12
IQWD1	NA	1q24	1q24
GBL	NA	16p13	16p13
SMYD3	NA	1q44	1q44
DHX40	ic1	17q23	17q23
POLG2	ic1	17q23	17q23
C16orf53	NA	16p11	16p11
C1orf35	NA	1q42	1q42
DSCC1	ic9	8q24	8q24
ZC3H3	ic9	8q24	8q24
TTC13	NA	1q42	1q42
C1orf43	NA	1q21	1q21
HSF1	ic9	8q24	8q24
SF3B3	NA	16q22	16q22
GATAD2B	NA	1q21	1q21
TUBD1	ic1	17q23	17q23
BRF2	ic6	8p11	8p11
AAMDC	ic2	11q14	11q14
NBN	NA	8q21	8q21
CCNE2	NA	8q22	8q22
H3F3A	NA	1q42	1q42
ZNF364	NA	1q21	1q21
KIAA0146	NA	8q11	8q11
VPS35	NA	16q11	16q11
TMEM208	NA	16q22	16q22
C19orf2	NA	19q12	19q12
ZBED4	NA	22q13	22q13
CCDC44	ic1	17q23	17q23
SDCCAG8	NA	1q43	1q43-1q44
SUPT6H	NA	17q11	17q11
ADCK5	ic9	8q24	8q24
CLEC16A	NA	16p13	16p13
SLC25A44	NA	1q22	1q22
ZW10	NA	11q23	11q23
KLHL36	NA	16q24	16q24
MLLT6	NA	17q12	17q12
APH1A	NA	1q21	1q21
UBE2V2	NA	8q11	8q11
MRPS23	NA	17q22	17q22
MRE11A	NA	11q21	11q21
SF3B4	NA	1q21	1q21
RFWD3	NA	16q23	16q23
PXMP3	NA	8q21	8q21
PPP1CA	ic2	11q13	11q13
CHMP6	ic1	17q25	17q25
DNAJA2	NA	16q11-16q12	16q11
PMVK	NA	1q21	1q21
EBNA1BP2	NA	1p34	1p34
ANKRD46	NA	8q22	8q22
ZNF787	NA	19q13	19q13
PPOX	NA	1q23	1q23
COPS5	NA	8q13	8q13
GOLGA7	ic6	8p11	8p11
FBXL6	ic9	8q24	8q24
LRRC14	ic9	8q24	8q24
DRG1	NA	22q12	22q12
RFWD2	NA	1q25	1q25
TMEM199	NA	17q11	17q11
USP21	NA	1q23	1q23
GTPBP4	NA	10p15	10p15
INO80E	NA	16p11	16p11
BPNT1	NA	1q41	1q41
STK3	NA	8q22	8q22
MCM4	NA	8q11	8q11
INTS2	ic1	17q23	17q23
CCDC49	NA	17q12	17q12
CLNS1A	ic2	11q14	11q14
DNAJA3	NA	16p13	16p13
LTV1	NA	6q24	6q24
FGF4	ic2	11q13	11q13
UPF2	NA	10p14	10p14
ZNF16	ic9	8q24	8q24
WHSC1L1	ic6	8p11	8p11
DDX19A	NA	16q22	16q22
BCKDK	NA	16p11	16p11
KARS	NA	16q23	16q23
C16orf58	NA	16p11	16p11
NENF	NA	1q32	1q32
UBQLN4	NA	1q22	1q22
GNA13	ic1	17q24	17q24
TPR	NA	1q31	1q31
PAK1	ic2	11q13-11q14	11q13-11q14
HIST3H3	NA	1q42	1q42
PUF60	ic9	8q24	8q24
ERAL1	NA	17q11	17q11
RPS6KB2	ic2	11q13	11q13
GPR172A	ic9	8q24	8q24
KLHL12	NA	1q32	1q32
GSDMB	NA	17q12	17q21
IGSF9	NA	1q23	1q23
TULP3	NA	12p13	12p13
E2F4	NA	16q22	16q22
DUS2L	NA	16q22	16q22
GIT1	NA	17q11	17q11
RPL8	ic9	8q24	8q24
NME3	NA	16p13	16p13
PIG8	NA	11q24	11q24
ATP6V1F	NA	7q32	7q32
REXO2	NA	11q23	11q23
CYB5B	NA	16q22	16q22
JMJD6	ic1	17q25	17q25
ZNF672	NA	1q44	1q44
PDHX	NA	11p13	11p13
STT3A	NA	11q24	11q24
HIRIP3	NA	16p11	16p11
CDC73	NA	1q31	1q31
COMMD5	ic9	8q24	8q24
TERF1	NA	8q21	8q21
GRINA	ic9	8q24	8q24
CA4	ic1	17q23	17q23
SNX11	NA	17q21	17q21
STARD3	NA	17q12	17q12
VPS4A	NA	16q22	16q22
PSEN2	NA	1q42	1q42
CYC1	ic9	8q24	8q24
FTSJ3	ic1	17q23	17q23
ORAI3	NA	16p11	16p11
INHBA	NA	7p14	7p14
NUBP1	NA	16p13	16p13
MRPS28	NA	8q21	8q21
ELF3	NA	1q32	1q32
ERI2	NA	16p12	16p12
STAM	NA	10p12	10p12
ZNF251	ic9	8q24	8q24
DDHD2	ic6	8p11	8p11
C16orf57	NA	16q21	16q21
SAP30BP	ic1	17q25	17q25
HAX1	NA	1q21	1q21
